fecha;provincia;camas_habilitadas_uci;camas_ocupadas_covid_uci
22/02/2022;Burgos;0;0
22/02/2022;Palencia;23;2
22/02/2022;Segovia;31;3
22/02/2022;Valladolid;0;0
22/02/2022;Ávila;14;2
22/02/2022;Burgos;0;0
22/02/2022;León;62;8
22/02/2022;Salamanca;61;6
22/02/2022;Valladolid;66;6
22/02/2022;León;17;0
22/02/2022;Burgos;47;6
22/02/2022;Soria;14;3
22/02/2022;Valladolid;0;0
22/02/2022;Valladolid;41;11
22/02/2022;Zamora;19;4
21/02/2022;León;62;10
21/02/2022;Palencia;23;3
21/02/2022;Soria;14;3
21/02/2022;León;17;1
21/02/2022;Segovia;31;3
21/02/2022;Valladolid;66;7
21/02/2022;Valladolid;37;11
21/02/2022;Valladolid;0;0
21/02/2022;Burgos;0;0
21/02/2022;Burgos;0;0
21/02/2022;Valladolid;0;0
21/02/2022;Zamora;19;4
21/02/2022;Ávila;14;1
21/02/2022;Burgos;47;6
21/02/2022;Salamanca;61;6
20/02/2022;Ávila;14;1
20/02/2022;Palencia;23;3
20/02/2022;Salamanca;61;5
20/02/2022;Zamora;19;4
20/02/2022;Burgos;0;0
20/02/2022;Burgos;0;0
20/02/2022;León;62;10
20/02/2022;León;17;1
20/02/2022;Valladolid;66;7
20/02/2022;Valladolid;37;12
20/02/2022;Segovia;31;3
20/02/2022;Valladolid;0;0
20/02/2022;Burgos;47;6
20/02/2022;Soria;14;3
20/02/2022;Valladolid;0;0
19/02/2022;Burgos;47;5
19/02/2022;Burgos;0;0
19/02/2022;León;17;1
19/02/2022;Salamanca;61;6
19/02/2022;Soria;14;3
19/02/2022;Valladolid;37;14
19/02/2022;Valladolid;0;0
19/02/2022;Zamora;19;4
19/02/2022;Burgos;0;0
19/02/2022;Palencia;23;3
19/02/2022;Valladolid;66;8
19/02/2022;Valladolid;0;0
19/02/2022;Ávila;14;1
19/02/2022;León;62;10
19/02/2022;Segovia;31;3
18/02/2022;Burgos;0;0
18/02/2022;Burgos;0;0
18/02/2022;León;62;9
18/02/2022;Valladolid;66;8
18/02/2022;Valladolid;37;14
18/02/2022;Valladolid;0;0
18/02/2022;Zamora;19;4
18/02/2022;Ávila;14;2
18/02/2022;Soria;14;3
18/02/2022;Segovia;31;3
18/02/2022;Burgos;47;6
18/02/2022;León;17;1
18/02/2022;Palencia;23;4
18/02/2022;Salamanca;61;6
18/02/2022;Valladolid;0;0
17/02/2022;Ávila;14;3
17/02/2022;León;62;9
17/02/2022;Segovia;31;4
17/02/2022;Soria;14;3
17/02/2022;Valladolid;66;9
17/02/2022;Valladolid;37;14
17/02/2022;Salamanca;61;7
17/02/2022;Burgos;0;0
17/02/2022;Palencia;23;4
17/02/2022;Zamora;19;5
17/02/2022;Burgos;0;0
17/02/2022;Valladolid;0;0
17/02/2022;Burgos;47;7
17/02/2022;León;17;1
17/02/2022;Valladolid;0;0
16/02/2022;León;62;9
16/02/2022;Palencia;23;5
16/02/2022;Ávila;14;4
16/02/2022;Burgos;0;0
16/02/2022;Valladolid;0;0
16/02/2022;Salamanca;61;7
16/02/2022;Valladolid;0;0
16/02/2022;Zamora;20;4
