Fecha;Provincia;porcentaje_total
22/02/2022;Soria;9,759012149
22/02/2022;Zamora;10,99588276
22/02/2022;Ávila;10,84097075
22/02/2022;Valladolid;13,0782585
22/02/2022;Burgos;12,76807414
22/02/2022;León;11,09349733
22/02/2022;Palencia;11,84579474
22/02/2022;Salamanca;13,46642928
22/02/2022;Segovia;11,40754394
22/02/2022;Castilla y León;12,05414268
21/02/2022;León;11,09202326
21/02/2022;Soria;9,748089963
21/02/2022;Castilla y León;12,05189655
21/02/2022;Ávila;10,83352907
21/02/2022;Burgos;12,76940394
21/02/2022;Palencia;11,84401376
21/02/2022;Segovia;11,40867856
21/02/2022;Valladolid;13,07513995
21/02/2022;Salamanca;13,46500824
21/02/2022;Zamora;10,99248255
20/02/2022;Burgos;12,76572322
20/02/2022;Salamanca;13,45333464
20/02/2022;Segovia;11,40901655
20/02/2022;Valladolid;13,07146085
20/02/2022;Ávila;10,82507572
20/02/2022;Soria;9,743906699
20/02/2022;Zamora;10,9861739
20/02/2022;León;11,08808378
20/02/2022;Palencia;11,83904627
20/02/2022;Castilla y León;12,04686534
19/02/2022;Segovia;11,40640303
19/02/2022;Castilla y León;12,04414315
19/02/2022;León;11,08553073
19/02/2022;Palencia;11,83630349
19/02/2022;Valladolid;13,06780482
19/02/2022;Ávila;10,82251592
19/02/2022;Burgos;12,76643935
19/02/2022;Salamanca;13,44835228
19/02/2022;Soria;9,742766385
19/02/2022;Zamora;10,98137827
18/02/2022;León;11,08466048
18/02/2022;Castilla y León;12,04134007
18/02/2022;Ávila;10,81742377
18/02/2022;Salamanca;13,44425604
18/02/2022;Segovia;11,40700752
18/02/2022;Burgos;12,76682701
18/02/2022;Palencia;11,83300536
18/02/2022;Soria;9,739638376
18/02/2022;Valladolid;13,0633289
18/02/2022;Zamora;10,97233358
17/02/2022;Soria;9,738761193
17/02/2022;Valladolid;13,05684589
17/02/2022;Ávila;10,81315389
17/02/2022;Burgos;12,7632228
17/02/2022;León;11,08070318
17/02/2022;Palencia;11,82923376
17/02/2022;Castilla y León;12,03507039
17/02/2022;Salamanca;13,43215109
17/02/2022;Segovia;11,38885172
17/02/2022;Zamora;10,96846678
16/02/2022;Segovia;11,38241914
16/02/2022;Valladolid;13,05009764
16/02/2022;Zamora;10,95832471
16/02/2022;Ávila;10,80173735
16/02/2022;Burgos;12,7605818
16/02/2022;Palencia;11,81500291
16/02/2022;Salamanca;13,41917085
16/02/2022;Soria;9,733981726
16/02/2022;Castilla y León;12,02723733
16/02/2022;León;11,07397819
15/02/2022;Segovia;11,37579216
15/02/2022;Soria;9,729175579
15/02/2022;Zamora;10,93649072
15/02/2022;Ávila;10,79061377
15/02/2022;León;11,06368777
15/02/2022;Palencia;11,80588414
15/02/2022;Salamanca;13,40613836
15/02/2022;Valladolid;13,03993669
15/02/2022;Burgos;12,75124185
