fecha;provincia;porcentaje_residentes_2a_dosis
22/02/2022;Burgos;85,97476129
22/02/2022;Palencia;88,2691677
22/02/2022;Valladolid;86,82100056
22/02/2022;Ávila;88,2572157
22/02/2022;León;85,86634088
22/02/2022;Salamanca;90,17317061
22/02/2022;Soria;88,64124357
22/02/2022;TotalCyL;87,15927646
22/02/2022;Segovia;84,1849717
22/02/2022;Zamora;88,16808984
21/02/2022;Ávila;88,24777313
21/02/2022;Burgos;85,9547216
21/02/2022;León;85,85996862
21/02/2022;Zamora;87,65468526
21/02/2022;Salamanca;90,13199035
21/02/2022;Soria;88,62670544
21/02/2022;Valladolid;86,81290949
21/02/2022;Palencia;88,23321644
21/02/2022;Segovia;84,1674456
21/02/2022;TotalCyL;87,10652467
20/02/2022;Salamanca;90,11094266
20/02/2022;Valladolid;86,80250669
20/02/2022;TotalCyL;87,09303295
20/02/2022;Burgos;85,93665766
20/02/2022;Zamora;87,65468526
20/02/2022;Ávila;88,23455352
20/02/2022;León;85,85601343
20/02/2022;Palencia;88,19789591
20/02/2022;Segovia;84,14991951
20/02/2022;Soria;88,6121673
19/02/2022;Zamora;
19/02/2022;Ávila;
19/02/2022;Burgos;
19/02/2022;León;
19/02/2022;Palencia;
19/02/2022;Salamanca;
19/02/2022;Segovia;
19/02/2022;Soria;
19/02/2022;Valladolid;
19/02/2022;TotalCyL;
18/02/2022;Burgos;
18/02/2022;Segovia;
18/02/2022;Soria;
18/02/2022;TotalCyL;
18/02/2022;Ávila;
18/02/2022;León;
18/02/2022;Palencia;
18/02/2022;Salamanca;
18/02/2022;Valladolid;
18/02/2022;Zamora;
17/02/2022;Burgos;85,87569186
17/02/2022;León;85,83689667
17/02/2022;Palencia;87,81504655
17/02/2022;Salamanca;90,06549186
17/02/2022;Soria;88,59651085
17/02/2022;Zamora;87,65114454
17/02/2022;Ávila;87,89084385
17/02/2022;Segovia;84,12590227
17/02/2022;Valladolid;86,78863629
17/02/2022;TotalCyL;87,02037878
16/02/2022;Segovia;84,04606117
16/02/2022;Soria;88,56296131
16/02/2022;Zamora;87,62635949
16/02/2022;León;85,75823229
16/02/2022;Palencia;87,37101698
16/02/2022;Valladolid;86,61987975
16/02/2022;TotalCyL;86,84460932
16/02/2022;Ávila;87,57294388
16/02/2022;Burgos;85,68884298
16/02/2022;Salamanca;89,79248201
15/02/2022;Palencia;86,58576582
15/02/2022;Salamanca;89,55607683
15/02/2022;Soria;88,48467904
15/02/2022;Valladolid;86,52529133
15/02/2022;Ávila;87,16565421
15/02/2022;Burgos;85,54433145
15/02/2022;León;85,72790915
15/02/2022;Segovia;83,83899361
15/02/2022;Zamora;87,61986817
15/02/2022;TotalCyL;86,66829517
14/02/2022;Ávila;
14/02/2022;Valladolid;
14/02/2022;TotalCyL;
14/02/2022;Salamanca;
14/02/2022;Zamora;
14/02/2022;Burgos;
14/02/2022;León;
14/02/2022;Palencia;
14/02/2022;Segovia;
14/02/2022;Soria;
13/02/2022;Ávila;86,40835982
13/02/2022;Segovia;83,2385626
13/02/2022;Valladolid;86,44765561
13/02/2022;Zamora;87,20973462
13/02/2022;Salamanca;89,03446025
13/02/2022;Soria;88,05188996
13/02/2022;Burgos;85,1782544
13/02/2022;León;85,58332491
13/02/2022;Palencia;86,48358857
13/02/2022;TotalCyL;86,35656102
12/02/2022;Ávila;
12/02/2022;Burgos;
12/02/2022;Palencia;
12/02/2022;Segovia;
12/02/2022;Zamora;
12/02/2022;TotalCyL;
12/02/2022;León;
12/02/2022;Salamanca;
12/02/2022;Soria;
12/02/2022;Valladolid;
11/02/2022;Ávila;
11/02/2022;Burgos;
11/02/2022;Salamanca;
11/02/2022;Valladolid;
11/02/2022;León;
11/02/2022;Palencia;
11/02/2022;Segovia;
11/02/2022;Soria;
11/02/2022;Zamora;
11/02/2022;TotalCyL;
